Country Name,Country Code,Time,Time Code,Adjusted net national income (annual % growth) [NY.ADJ.NNTY.KD.ZG],Adjusted net national income (constant 2015 US$) [NY.ADJ.NNTY.KD],Adjusted net national income (current US$) [NY.ADJ.NNTY.CD],Current account balance (% of GDP) [BN.CAB.XOKA.GD.ZS],"Current account balance (BoP, current US$) [BN.CAB.XOKA.CD]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Exports of goods and services (annual % growth) [NE.EXP.GNFS.KD.ZG],Exports of goods and services (current US$) [NE.EXP.GNFS.CD],External balance on goods and services (constant LCU) [NE.RSB.GNFS.KN],"Foreign direct investment, net (BoP, current US$) [BN.KLT.DINV.CD]","Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]","Foreign direct investment, net outflows (% of GDP) [BM.KLT.DINV.WD.GD.ZS]","Foreign direct investment, net outflows (BoP, current US$) [BM.KLT.DINV.CD.WD]",GDP (constant 2015 US$) [NY.GDP.MKTP.KD],GDP (constant LCU) [NY.GDP.MKTP.KN],GDP (current LCU) [NY.GDP.MKTP.CN],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],GDP per capita (constant LCU) [NY.GDP.PCAP.KN],GDP per capita (current LCU) [NY.GDP.PCAP.CN],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"GDP per capita, PPP (constant 2021 international $) [NY.GDP.PCAP.PP.KD]","GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","GDP, PPP (constant 2021 international $) [NY.GDP.MKTP.PP.KD]","GDP, PPP (current international $) [NY.GDP.MKTP.PP.CD]",GDP: linked series (current LCU) [NY.GDP.MKTP.CN.AD],General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],General government final consumption expenditure (annual % growth) [NE.CON.GOVT.KD.ZG],General government final consumption expenditure (current US$) [NE.CON.GOVT.CD],"Goods exports (BoP, current US$) [BX.GSR.MRCH.CD]","Goods imports (BoP, current US$) [BM.GSR.MRCH.CD]","Grants, excluding technical cooperation (BoP, current US$) [BX.GRT.EXTA.CD.WD]",Gross domestic savings (% of GDP) [NY.GDS.TOTL.ZS],Gross domestic savings (current LCU) [NY.GDS.TOTL.CN],Gross national expenditure (% of GDP) [NE.DAB.TOTL.ZS],Gross national expenditure deflator (base year varies by country) [NE.DAB.DEFL.ZS],Gross value added at basic prices (GVA) (constant 2015 US$) [NY.GDP.FCST.KD],Households and NPISHs final consumption expenditure (% of GDP) [NE.CON.PRVT.ZS],Households and NPISHs Final consumption expenditure (annual % growth) [NE.CON.PRVT.KD.ZG],Households and NPISHs final consumption expenditure: linked series (current LCU) [NE.CON.PRVT.CN.AD],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Imports of goods and services (annual % growth) [NE.IMP.GNFS.KD.ZG],Imports of goods and services (current US$) [NE.IMP.GNFS.CD],Multilateral debt service (% of public and publicly guaranteed debt service) [DT.TDS.MLAT.PG.ZS],"Net financial flows, IBRD (NFL, current US$) [DT.NFL.MIBR.CD]","Net financial flows, IDA (NFL, current US$) [DT.NFL.MIDA.CD]","Net financial flows, IMF concessional (NFL, current US$) [DT.NFL.IMFC.CD]","Net financial flows, IMF nonconcessional (NFL, current US$) [DT.NFL.IMFN.CD]","Net financial flows, multilateral (NFL, current US$) [DT.NFL.MLAT.CD]",Net ODA received (% of central government expense) [DT.ODA.ODAT.XP.ZS],Net ODA received (% of GNI) [DT.ODA.ODAT.GN.ZS],Net official aid received (current US$) [DT.ODA.OATL.CD],Net official development assistance and official aid received (constant 2021 US$) [DT.ODA.ALLD.KD],"Net trade in goods (BoP, current US$) [BN.GSR.MRCH.CD]","Net trade in goods and services (BoP, current US$) [BN.GSR.GNFS.CD]","Portfolio investment, bonds (PPG + PNG) (NFL, current US$) [DT.NFL.BOND.CD]","Portfolio investment, net (BoP, current US$) [BN.KLT.PTXL.CD]","Service exports (BoP, current US$) [BX.GSR.NFSV.CD]","Service imports (BoP, current US$) [BM.GSR.NFSV.CD]",Taxes less subsidies on products (constant LCU) [NY.TAX.NIND.KN],"Travel services (% of service exports, BoP) [BX.GSR.TRVL.ZS]"
American Samoa,ASM,2022,YR2022,..,..,..,..,..,46.95752009,3.064066852,409000000,-249000000,..,..,..,..,..,662725190.8,645000000,871000000,871000000,1.735015773,13709.09749,13342.43515,18017.45894,18017.45894,3.593276063,..,..,..,..,871000000,..,..,..,..,..,..,..,..,..,..,..,71.29735936,-7.948243993,621000000,77.72675086,-12.57062147,677000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,2023,YR2023,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,2021,YR2021,..,..,..,14.05969484,467435297.1,..,..,..,..,-345268861.7,..,..,..,..,2893905657,2572190000,2810970000,3324647529,8.28677879,36929.01915,32823.61799,35870.68041,42425.69968,6.927044852,59332.20291,59332.20291,4649508749,4649508749,2810970000,..,..,..,176790152,1503879369,..,..,..,..,..,2670408886,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1327089217,271153904.5,..,609467600.2,2237688681,639445559.6,198650000,84.25520011
Andorra,AND,2022,YR2022,..,..,..,17.25127103,583198637.6,..,..,..,..,-540316791.9,..,..,..,..,3170696512,2818210000,3210310000,3380612573,9.564612256,39780.39661,35358.00765,40277.3979,42414.05901,7.721238001,63913.38351,68470.07595,5094216232,5457407403,3210310000,..,..,..,198648978.3,1784379768,..,..,..,..,..,2848080622,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1585730790,296200061.2,..,1411968515,2537204320,655273468.3,286750000,86.18225014
Andorra,AND,2023,YR2023,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3252613194,2891020000,3500580000,3785067332,2.58355481,40227.23353,35755.16968,43294.00416,46812.44845,1.123259079,64631.29639,71730.66868,5225828101,5799854947,3500580000,..,..,..,..,..,..,..,..,..,..,2966967224,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,253880000,..
Angola,AGO,2021,YR2021,-1.282025981,68269353130,42541367192,12.62978006,8399451649,47.74527597,-8.558465214,31753057845,2.40152E+11,3297745964,-6.548542276,-4355116553,-1.58990831,-1057370588,82375341953,1.47823E+12,4.45359E+13,66505129988,1.199210521,2385.448818,42806.95111,1289684.574,1925.874661,-1.969590687,7408.126591,7408.126591,2.55821E+11,2.55821E+11,4.45359E+13,7.683454676,-1.739584933,5109891520,33581489803,11794847514,227290000,47.46341523,2.11383E+13,78.97394665,2713.00797,76976088013,44.85313009,3.711454587,1.99758E+13,26.71922262,-3.816421373,17769653735,2.106253922,787455000,-36726000,..,2006785792,807396000,..,0.404839948,..,247160003.7,21786642289,14829788601,0,34748540.79,93510329.52,7050364018,1.03601E+11,23.81658029
Angola,AGO,2022,YR2022,..,..,..,11.26715328,11762879501,44.3916421,3.270583542,46344761974,2.10042E+11,6639719014,-6.320563843,-6598652652,0.039335691,41066362.25,84883445838,1.52324E+12,5.2184E+13,1.044E+11,3.044726524,2382.02264,42745.46823,1464401.671,2929.694455,-0.143628268,7397.486427,7924.888806,2.6361E+11,2.82404E+11,5.2184E+13,8.096265874,8.443328466,8452481077,50037992660,17267321011,158570000,45.34823191,2.36645E+13,80.90778631,3063.40525,79343014574,46.55550221,4.031867602,2.42945E+13,25.29942841,26.10970549,26412539213,2.862768155,830026000,-51852000,..,0,729837000,..,0.101163684,..,96580001.83,32770671648,21556000870,1114413000,-922852409.4,82207574.87,11296878353,1.06341E+11,23.91664735
Angola,AGO,2023,YR2023,..,..,..,4.933699785,4184993796,40.85677939,-6.184776273,34656621950,1.98301E+11,2152988344,-2.498839752,-2119632186,0.03932366,33356158.95,85733374750,1.53849E+12,6.19932E+13,84824654482,1.00128936,2332.886913,41863.72613,1686892.805,2308.159767,-2.062773293,7244.893053,8040.70245,2.66249E+11,2.95495E+11,6.19932E+13,5.174861952,-36.72908485,4389558770,36884699367,15084852032,..,38.46512023,2.38457E+13,85.32812983,4069.141847,79850410715,56.36001782,3.146397951,3.49394E+13,26.18490922,-6.780830808,22211258771,3.544209289,700178000,-54507000,..,-178873300.9,651069000,..,..,..,..,21799847335,13272713527,0,-33451299.16,75846222.46,8602980031,1.12532E+11,9.92333136
Antigua and Barbuda,ATG,2021,YR2021,..,..,..,-17.95640734,-287547921.7,46.98347939,..,752377777.8,..,-305309835.5,18.1006036,289857032.5,-0.964975937,-15452803,1484148566,4059310000,4323690000,1601366667,8.191718462,16071.08432,43956.18794,46819.02349,17340.37907,7.602427464,25733.29483,25733.29483,2376444044,2376444044,4323690000,..,..,..,50554547.99,525235652.1,5410000,..,..,..,..,1332425394,..,..,..,54.13940407,..,866970370.4,..,..,..,..,..,..,..,0.397064521,..,6139999.866,-474681104.1,-167083972.7,..,-2847642.433,655142283.5,347545152.1,484740000,74.6255308
Antigua and Barbuda,ATG,2022,YR2022,..,..,..,-15.8559417,-296146708.5,54.68958214,..,1021455556,..,-294856261.9,16.15470929,301726890.4,0.3678592,6870628.889,1625386016,4445610000,5042880000,1867733333,9.516395644,17507.38922,47884.64024,54317.96639,20117.76533,8.937199712,28033.13078,30031.74747,2602595861,2788147435,5042880000,..,..,..,82652099.63,724982560.4,..,..,..,..,..,1467848889,..,..,..,62.94042293,..,1175559259,..,..,..,..,..,..,..,..,..,..,-642330460.7,-123031097.8,..,44946897.41,1028319330,509019966.7,507720000,80.55364309
Antigua and Barbuda,ATG,2023,YR2023,..,..,..,-12.89162094,-262097635.6,..,..,..,..,-293118844.8,14.78529943,300597732.2,0.367859028,7478887.407,1688158622,4617300000,5489330000,2033085185,3.862012187,18090.77352,49480.26062,58825.17468,21787.10173,3.332217535,28967.25568,32149.14036,2703108431,3000029182,5489330000,..,..,..,94311362.96,745674214.4,..,..,..,..,..,1535156203,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-651362851.1,-83379451.48,..,79751355.93,1122677397,554693996.7,498830000,81.18814427
Argentina,ARG,2021,YR2021,12.48955577,4.88631E+11,4.11983E+11,1.361544222,6624785192,18.06670917,8.453044795,87906118245,-19922121000,-5114187942,1.368380832,6658049679,0.317298745,1543861738,5.68637E+11,6.8981E+11,4.62191E+13,4.86564E+11,10.44181199,12549.28117,15223.46522,1020012.29,10738.01792,10.14855999,26300.27426,26300.27426,1.19173E+12,1.19173E+12,4.62191E+13,15.91581794,7.124584446,77440654018,77986576165,59291110550,60920000,21.13101802,9.76656E+12,96.94527123,6313.258015,4.78186E+11,62.95316404,9.466194433,2.90964E+13,15.0119804,18.55865327,73042905138,41.54499047,796270000,..,..,-3779982686,1806483000,0.139362174,0.032562763,..,155259994.5,18695465615,14995374117,-1247849000,4940438118,9588735678,13288827176,1.13555E+11,4.111068888
Argentina,ARG,2022,YR2022,..,..,..,-0.640820188,-4055046517,16.24801444,4.606214797,1.02816E+11,-42573271000,-13110763935,2.402155349,15200600518,0.330257487,2089836583,5.98603E+11,7.26162E+11,8.26528E+13,6.3279E+11,5.269879674,13182.7934,15991.97548,1820229.892,13935.68111,5.048195323,27627.96348,29597.69384,1.25453E+12,1.34397E+12,8.26528E+13,15.83565718,2.969720445,1.00206E+11,88514609405,76162545003,125350000,18.7498635,1.54973E+13,98.52993496,10571.60165,5.02464E+11,65.41447932,9.354182587,5.40669E+13,15.29969356,17.82674806,96814941605,26.35375942,692400000,..,..,6631907083,2685162000,0.277062343,0.061830572,..,407309997.6,12352064402,5529161408,-3188680000,6898955727,14413679146,21236582139,1.20651E+11,24.09877182
Argentina,ARG,2023,YR2023,..,..,..,-3.243512548,-20955532698,12.74924578,-7.512632242,82369725073,-57294643700,-20904799580,3.69401868,23866141440,0.458358641,2961341860,5.8896E+11,7.14464E+11,1.91405E+14,6.46075E+11,-1.611001621,12933.24973,15689.25542,4203155.853,14187.48273,-1.892949797,27104.98,30082.30452,1.23432E+12,1.3699E+12,1.91405E+14,16.387469,1.53504721,1.05875E+11,66836201991,69773052502,..,17.6633499,3.38085E+13,101.7081891,25012.26682,4.94692E+11,65.9491811,1.041241276,1.2623E+14,13.89126635,1.738765924,89748037628,35.12199509,684952000,..,..,-5073959569,3506058000,..,..,..,..,-2936850511,-9352747404,-2613709000,5420481191,16110565249,22526462141,1.18318E+11,34.05417315
Armenia,ARM,2021,YR2021,2.40277797,10551045918,11228790134,-3.479973958,-482982405.9,35.90643999,18.6,4983421998,-2.22711E+11,-341851473.7,2.640302812,366445214.8,0.17720227,24593741.11,12633615900,5.64086E+12,6.99178E+12,13878908629,5.800000001,4264.799615,1904216.42,2360253.114,4685.179971,5.771427608,15921.70528,15921.70528,47164867557,47164867557,6.99178E+12,13.64985026,-6.199999995,1894450245,3276624686,4781393739,130910000,15.10686738,1.05624E+12,107.8570088,127.5367834,11320947848,71.24328236,2.700000001,4.98117E+12,43.76344883,12.9,6073889076,54.35363478,32303000,-68519000,..,-66293592.4,-467000,4.673396853,1.201415204,..,161949996.9,-1504769053,-1115247228,733035000,-672026508.2,1763282838,1373761014,5.42296E+11,44.4739219
Armenia,ARM,2022,YR2022,..,..,..,0.331693235,64724981.18,50.22498046,59.9,9800654853,1.92715E+11,-925913971.6,4.999915861,975658909.3,0.254925672,49744937.62,14225451503,6.35161E+12,8.50145E+12,19513506553,12.6,4791.004817,2139164.993,2863212.111,6571.974455,12.33833356,17886.17839,19161.37005,53107640869,56893939957,8.50145E+12,11.67648189,-2.200000002,2278491060,5711353911,7577110320,106320000,21.417802,1.82082E+12,100.9608173,136.9791788,12803992016,66.9057161,5.599999999,5.68796E+12,51.1857978,35,9988144008,52.73106658,5751000,-64042000,..,59169520.7,44663000,7.273109494,1.581482709,..,322529998.8,-1865756410,-147212952.4,..,1355929977,4406479991,2687936533,5.86222E+11,55.35242615
Armenia,ARM,2023,YR2023,..,..,..,-2.309786441,-556329378.3,59.45208567,30.7,14319480483,2.66756E+11,-526510467.3,2.409578645,580365078.7,0.22359533,53854611.31,15406163978,6.87879E+12,9.45318E+12,24085749592,8.3,5151.012731,2299907.125,3160645.625,8053.010663,7.514246547,19230.18993,21342.51453,57515575061,63833326718,9.45317E+12,14.14657932,28.3,3407309672,8647855412,11162507846,..,20.48490163,1.93647E+12,100.8104716,140.4688939,13828311378,65.36851904,5.600000001,6.1794E+12,60.26255729,30.2,14514688647,42.05527148,117744000,-66623000,..,-93668921.1,118748000,..,..,..,..,-2514652434,-193722388.3,-169869000,-64467744.54,5690483460,3369553414,6.50707E+11,52.88284054
Aruba,ABW,2021,YR2021,..,..,2662868130,2.705530365,79257066.71,70.74004287,..,2072291765,..,-138400826.4,4.55871502,133545121.2,-0.165755037,-4855705.246,2958411905,4768167988,5243709375,2929446578,24.13262736,27469.00562,44272.68327,48688.10933,27200.06108,25.15496385,35696.30937,35696.30937,3844492519,3844492519,5243709375,22.83170585,..,668842625.7,123003045.7,1060885928,..,16.2526902,852243839.6,105.5354904,..,..,60.91560395,..,3194237235,76.27553323,..,2234450998,..,..,..,..,..,..,..,..,..,..,-937882882.1,253587682.8,..,67062501.72,2077972662,886502097.2,..,85.89639971
Aruba,ABW,2022,YR2022,..,..,..,7.030547162,230555794.5,87.57027983,..,2871730318,..,-124694278.1,7.567071864,248150282.6,3.764656031,123456004.5,3210407009,5174316632,5870024943,3279343544,8.517918105,29917.12803,48218.40119,54701.56503,30559.53353,8.912308079,38877.67444,41649.45079,4171963244,4469402564,5870024943,21.20776441,..,695475453.1,205274645.9,1370746755,..,23.17391095,1360314353,97.74361143,..,..,55.61832464,..,3264809529,85.31389125,..,2797735585,..,..,..,..,..,..,..,..,..,..,-1165472109,423839378.9,..,321957006.3,2647505946,1058194458,..,86.97251208
Aruba,ABW,2023,YR2023,..,..,..,..,..,88.34378643,..,3223287659,..,..,2.506331286,91445330,2.506331286,91445330,3347289756,5394934975,6530945914,3648573136,4.263719415,31178.47368,50251.3527,60832.77521,33984.79062,4.21613214,40516.80856,44967.34451,4349844051,4827649140,6530945914,19.56247345,..,713751151,..,..,..,28.35029201,1851542238,93.11071008,..,..,52.08723454,..,3401789116,81.45449651,..,2971926878,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
