Country Name,Country Code,Time,Time Code,Adjusted net national income (annual % growth) [NY.ADJ.NNTY.KD.ZG],Adjusted net national income (constant 2015 US$) [NY.ADJ.NNTY.KD],Adjusted net national income (current US$) [NY.ADJ.NNTY.CD],Adjusted net national income per capita (annual % growth) [NY.ADJ.NNTY.PC.KD.ZG],Adjusted net national income per capita (constant 2015 US$) [NY.ADJ.NNTY.PC.KD],Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD]
Bulgaria,BGR,2023,YR2023,..,..,..,..,..,..
Burkina Faso,BFA,2021,YR2021,-5.702378447,12921137682,14738025608,-7.916935445,587.4514631,670.0551391
Burkina Faso,BFA,2022,YR2022,..,..,..,..,..,..
Burkina Faso,BFA,2023,YR2023,..,..,..,..,..,..
Burundi,BDI,2021,YR2021,0.756301588,2369968493,1956913335,-1.951506129,182.7906341,150.9325674
Burundi,BDI,2022,YR2022,..,..,..,..,..,..
Burundi,BDI,2023,YR2023,..,..,..,..,..,..
Cabo Verde,CPV,2021,YR2021,7.283789794,1509549870,1658457519,6.874713098,2921.809332,3210.02754
Cabo Verde,CPV,2022,YR2022,..,..,..,..,..,..
Cabo Verde,CPV,2023,YR2023,..,..,..,..,..,..
Cambodia,KHM,2021,YR2021,-0.971486041,21927048934,22808826441,-2.423172231,1291.778894,1343.726676
Cambodia,KHM,2022,YR2022,..,..,..,..,..,..
Cambodia,KHM,2023,YR2023,..,..,..,..,..,..
Cameroon,CMR,2021,YR2021,-1.111019356,32476973673,37065481266,-3.701936883,1206.615607,1377.092232
Cameroon,CMR,2022,YR2022,..,..,..,..,..,..
Cameroon,CMR,2023,YR2023,..,..,..,..,..,..
Canada,CAN,2021,YR2021,8.880430113,1.40406E+12,1.60555E+12,8.279005962,36717.21609,41986.23286
Canada,CAN,2022,YR2022,..,..,..,..,..,..
Canada,CAN,2023,YR2023,..,..,..,..,..,..
Cayman Islands,CYM,2021,YR2021,..,..,..,..,..,..
Cayman Islands,CYM,2022,YR2022,..,..,..,..,..,..
Cayman Islands,CYM,2023,YR2023,..,..,..,..,..,..
Central African Republic,CAF,2021,YR2021,-0.63074166,1895476219,2133963401,-2.292150718,370.7823045,417.4338142
Central African Republic,CAF,2022,YR2022,..,..,..,..,..,..
Central African Republic,CAF,2023,YR2023,..,..,..,..,..,..
Chad,TCD,2021,YR2021,10.37118867,7113548150,8355160089,6.634461768,399.0037706,468.6466316
Chad,TCD,2022,YR2022,..,..,..,..,..,..
Chad,TCD,2023,YR2023,..,..,..,..,..,..
Channel Islands,CHI,2021,YR2021,..,..,..,..,..,..
Channel Islands,CHI,2022,YR2022,..,..,..,..,..,..
Channel Islands,CHI,2023,YR2023,..,..,..,..,..,..
Chile,CHL,2021,YR2021,6.227921602,2.03184E+11,2.16294E+11,5.759961134,10443.05613,11116.89571
Chile,CHL,2022,YR2022,..,..,..,..,..,..
Chile,CHL,2023,YR2023,..,..,..,..,..,..
China,CHN,2021,YR2021,7.421746388,1.11358E+13,1.27329E+13,7.325912889,7884.517272,9015.348004
China,CHN,2022,YR2022,..,..,..,..,..,..
China,CHN,2023,YR2023,..,..,..,..,..,..
Colombia,COL,2021,YR2021,7.652827833,2.77592E+11,2.62458E+11,6.478938997,5422.970062,5127.309256
Colombia,COL,2022,YR2022,..,..,..,..,..,..
Colombia,COL,2023,YR2023,..,..,..,..,..,..
Comoros,COM,2021,YR2021,2.662577753,1001294140,1188775714,0.653554571,1223.815643,1452.961979
Comoros,COM,2022,YR2022,..,..,..,..,..,..
Comoros,COM,2023,YR2023,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,2021,YR2021,-6.362870778,36959629082,32501996856,-9.346196016,372.7688068,327.8098533
"Congo, Dem. Rep.",COD,2022,YR2022,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,2023,YR2023,..,..,..,..,..,..
"Congo, Rep.",COG,2021,YR2021,35.66646761,4568413162,6299969558,32.45699156,775.3345683,1069.208061
"Congo, Rep.",COG,2022,YR2022,..,..,..,..,..,..
"Congo, Rep.",COG,2023,YR2023,..,..,..,..,..,..
Costa Rica,CRI,2021,YR2021,4.411399069,57240496437,56532369848,3.881747262,11312.3779,11172.4316
Costa Rica,CRI,2022,YR2022,..,..,..,..,..,..
Costa Rica,CRI,2023,YR2023,..,..,..,..,..,..
Cote d'Ivoire,CIV,2021,YR2021,3.37917684,55752536034,64141668493,0.852966962,1881.006499,2164.043178
Cote d'Ivoire,CIV,2022,YR2022,..,..,..,..,..,..
Cote d'Ivoire,CIV,2023,YR2023,..,..,..,..,..,..
Croatia,HRV,2021,YR2021,10.28940517,48793481359,56452688748,11.2909425,12578.94312,14553.48421
Croatia,HRV,2022,YR2022,..,..,..,..,..,..
Croatia,HRV,2023,YR2023,..,..,..,..,..,..
Cuba,CUB,2021,YR2021,..,..,..,..,..,..
Cuba,CUB,2022,YR2022,..,..,..,..,..,..
Cuba,CUB,2023,YR2023,..,..,..,..,..,..
Curacao,CUW,2021,YR2021,..,..,..,..,..,..
Curacao,CUW,2022,YR2022,..,..,..,..,..,..
Curacao,CUW,2023,YR2023,..,..,..,..,..,..
Cyprus,CYP,2021,YR2021,5.364569396,20125836056,22227522576,4.387409214,22353.19727,24687.48242
Cyprus,CYP,2022,YR2022,..,..,..,..,..,..
Cyprus,CYP,2023,YR2023,..,..,..,..,..,..
Czechia,CZE,2021,YR2021,3.950625439,1.5401E+11,2.08474E+11,5.851243484,14659.59982,19843.78291
Czechia,CZE,2022,YR2022,..,..,..,..,..,..
Czechia,CZE,2023,YR2023,..,..,..,..,..,..
Denmark,DNK,2021,YR2021,6.638807765,3.00526E+11,3.44355E+11,6.17761987,51312.82562,58796.35993
Denmark,DNK,2022,YR2022,..,..,..,..,..,..
Denmark,DNK,2023,YR2023,..,..,..,..,..,..
Djibouti,DJI,2021,YR2021,11.02743378,2952741041,3080405148,9.437151709,2633.441523,2747.300462
Djibouti,DJI,2022,YR2022,..,..,..,..,..,..
Djibouti,DJI,2023,YR2023,..,..,..,..,..,..
Dominica,DMA,2021,YR2021,..,..,472053855.9,..,..,7024.401891
Dominica,DMA,2022,YR2022,..,..,..,..,..,..
Dominica,DMA,2023,YR2023,..,..,..,..,..,..
Dominican Republic,DOM,2021,YR2021,4.892545071,73471431359,81914377873,3.806454377,6605.078427,7364.098945
Dominican Republic,DOM,2022,YR2022,..,..,..,..,..,..
Dominican Republic,DOM,2023,YR2023,..,..,..,..,..,..
Ecuador,ECU,2021,YR2021,1.668292803,75820990534,78171039767,0.884100927,4287.922397,4420.825286
Ecuador,ECU,2022,YR2022,..,..,..,..,..,..
Ecuador,ECU,2023,YR2023,..,..,..,..,..,..
"Egypt, Arab Rep.",EGY,2021,YR2021,1.753859903,3.45163E+11,3.53377E+11,0.248159295,3110.780218,3184.810353
"Egypt, Arab Rep.",EGY,2022,YR2022,..,..,..,..,..,..
"Egypt, Arab Rep.",EGY,2023,YR2023,..,..,..,..,..,..
El Salvador,SLV,2021,YR2021,7.505114733,20529673039,23213085150,7.142358252,3281.711709,3710.660817
El Salvador,SLV,2022,YR2022,..,..,..,..,..,..
El Salvador,SLV,2023,YR2023,..,..,..,..,..,..
Equatorial Guinea,GNQ,2021,YR2021,15.94891293,4055271606,4765088217,13.15907602,2305.722018,2709.305292
Equatorial Guinea,GNQ,2022,YR2022,..,..,..,..,..,..
Equatorial Guinea,GNQ,2023,YR2023,..,..,..,..,..,..
Eritrea,ERI,2021,YR2021,..,..,..,..,..,..
Eritrea,ERI,2022,YR2022,..,..,..,..,..,..
Eritrea,ERI,2023,YR2023,..,..,..,..,..,..
Estonia,EST,2021,YR2021,8.830998775,22927249136,29895880046,8.715702345,17226.46171,22462.36475
Estonia,EST,2022,YR2022,..,..,..,..,..,..
Estonia,EST,2023,YR2023,..,..,..,..,..,..
Eswatini,SWZ,2021,YR2021,..,..,3482722072,..,..,2886.409976
Eswatini,SWZ,2022,YR2022,..,..,..,..,..,..
Eswatini,SWZ,2023,YR2023,..,..,..,..,..,..
Ethiopia,ETH,2021,YR2021,6.454517553,89078693934,96072352512,3.647205213,729.32474,786.5847648
Ethiopia,ETH,2022,YR2022,..,..,..,..,..,..
Ethiopia,ETH,2023,YR2023,..,..,..,..,..,..
Faroe Islands,FRO,2021,YR2021,..,..,..,..,..,..
Faroe Islands,FRO,2022,YR2022,..,..,..,..,..,..
Faroe Islands,FRO,2023,YR2023,..,..,..,..,..,..
Fiji,FJI,2021,YR2021,..,..,3467195322,..,..,3782.211976
Fiji,FJI,2022,YR2022,..,..,..,..,..,..
Fiji,FJI,2023,YR2023,..,..,..,..,..,..
Finland,FIN,2021,YR2021,3.841972129,2.12995E+11,2.46111E+11,3.626942507,38439.72118,44416.2002
Finland,FIN,2022,YR2022,..,..,..,..,..,..
Finland,FIN,2023,YR2023,..,..,..,..,..,..
France,FRA,2021,YR2021,9.06323794,2.14938E+12,2.47271E+12,8.674682494,31681.74574,36447.57846
France,FRA,2022,YR2022,..,..,..,..,..,..
France,FRA,2023,YR2023,..,..,..,..,..,..
French Polynesia,PYF,2021,YR2021,..,..,..,..,..,..
French Polynesia,PYF,2022,YR2022,..,..,..,..,..,..
French Polynesia,PYF,2023,YR2023,..,..,..,..,..,..
Gabon,GAB,2021,YR2021,4.943688457,12651404595,10548966347,2.55124884,5323.047708,4438.451929
Gabon,GAB,2022,YR2022,..,..,..,..,..,..
Gabon,GAB,2023,YR2023,..,..,..,..,..,..
"Gambia, The",GMB,2021,YR2021,0.750410963,1389506023,1607615266,-1.607084746,539.402418,624.0718265
"Gambia, The",GMB,2022,YR2022,..,..,..,..,..,..
"Gambia, The",GMB,2023,YR2023,..,..,..,..,..,..
Georgia,GEO,2021,YR2021,7.118551616,15509696821,15149562721,7.525985746,4182.078143,4084.970574
Georgia,GEO,2022,YR2022,..,..,..,..,..,..
Georgia,GEO,2023,YR2023,..,..,..,..,..,..
Germany,DEU,2021,YR2021,2.539605042,2.99503E+12,3.57597E+12,2.496212229,35999.64654,42982.48189
Germany,DEU,2022,YR2022,..,..,..,..,..,..
Germany,DEU,2023,YR2023,..,..,..,..,..,..
Ghana,GHA,2021,YR2021,-3.443529871,51868329234,59884261177,-5.316707276,1595.032552,1841.535044
Ghana,GHA,2022,YR2022,..,..,..,..,..,..
Ghana,GHA,2023,YR2023,..,..,..,..,..,..
Gibraltar,GIB,2021,YR2021,..,..,..,..,..,..
Gibraltar,GIB,2022,YR2022,..,..,..,..,..,..
Gibraltar,GIB,2023,YR2023,..,..,..,..,..,..
Greece,GRC,2021,YR2021,8.421696222,1.66069E+11,1.82452E+11,9.749033279,15712.5438,17262.58654
Greece,GRC,2022,YR2022,..,..,..,..,..,..
Greece,GRC,2023,YR2023,..,..,..,..,..,..
Greenland,GRL,2021,YR2021,..,..,..,..,..,..
Greenland,GRL,2022,YR2022,..,..,..,..,..,..
Greenland,GRL,2023,YR2023,..,..,..,..,..,..
Grenada,GRD,2021,YR2021,..,..,..,..,..,..
Grenada,GRD,2022,YR2022,..,..,..,..,..,..
Grenada,GRD,2023,YR2023,..,..,..,..,..,..
Guam,GUM,2021,YR2021,..,..,..,..,..,..
Guam,GUM,2022,YR2022,..,..,..,..,..,..
Guam,GUM,2023,YR2023,..,..,..,..,..,..
Guatemala,GTM,2021,YR2021,3.686804515,64037903967,73724408676,2.264978517,3638.796383,4189.208188
Guatemala,GTM,2022,YR2022,..,..,..,..,..,..
Guatemala,GTM,2023,YR2023,..,..,..,..,..,..
Guinea,GIN,2021,YR2021,0.134515503,9300138766,11717268332,-2.343775801,678.3217204,854.6192496
Guinea,GIN,2022,YR2022,..,..,..,..,..,..
Guinea,GIN,2023,YR2023,..,..,..,..,..,..
Guinea-Bissau,GNB,2021,YR2021,5.970118137,1112459673,1395970355,3.623771913,540.3329704,678.0369901
Guinea-Bissau,GNB,2022,YR2022,..,..,..,..,..,..
Guinea-Bissau,GNB,2023,YR2023,..,..,..,..,..,..
Guyana,GUY,2021,YR2021,..,..,5116380908,..,..,6274.057438
Guyana,GUY,2022,YR2022,..,..,..,..,..,..
Guyana,GUY,2023,YR2023,..,..,..,..,..,..
Haiti,HTI,2021,YR2021,1.771534898,14320707428,19746452204,0.60178622,1259.009113,1736.015025
Haiti,HTI,2022,YR2022,..,..,..,..,..,..
Haiti,HTI,2023,YR2023,..,..,..,..,..,..
Honduras,HND,2021,YR2021,7.010037997,21748842010,24740496571,5.239650669,2113.615353,2404.352994
Honduras,HND,2022,YR2022,..,..,..,..,..,..
Honduras,HND,2023,YR2023,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,2021,YR2021,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,2022,YR2022,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,2023,YR2023,..,..,..,..,..,..
Hungary,HUN,2021,YR2021,2.929128371,1.16727E+11,1.437E+11,3.355880932,12021.41211,14799.3838
Hungary,HUN,2022,YR2022,..,..,..,..,..,..
Hungary,HUN,2023,YR2023,..,..,..,..,..,..
Iceland,ISL,2021,YR2021,2.590079897,15876637797,20192232160,0.922013447,42619.55814,54204.42435
Iceland,ISL,2022,YR2022,..,..,..,..,..,..
Iceland,ISL,2023,YR2023,..,..,..,..,..,..
India,IND,2021,YR2021,10.47013446,2.40825E+12,2.69707E+12,9.565081669,1702.903289,1907.12904
India,IND,2022,YR2022,..,..,..,..,..,..
India,IND,2023,YR2023,..,..,..,..,..,..
Indonesia,IDN,2021,YR2021,5.366874218,8.09111E+11,8.82649E+11,4.627067235,2923.532686,3189.243047
Indonesia,IDN,2022,YR2022,..,..,..,..,..,..
Indonesia,IDN,2023,YR2023,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,2021,YR2021,10.0758557,3.41881E+11,2.63717E+11,9.16488362,3865.002236,2981.34829
"Iran, Islamic Rep.",IRN,2022,YR2022,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,2023,YR2023,..,..,..,..,..,..
Iraq,IRQ,2021,YR2021,21.25123144,1.6254E+11,1.60735E+11,18.56388761,3773.743689,3731.836939
Iraq,IRQ,2022,YR2022,..,..,..,..,..,..
Iraq,IRQ,2023,YR2023,..,..,..,..,..,..
Ireland,IRL,2021,YR2021,17.983534,2.13539E+11,2.49681E+11,16.86346535,42426.45918,49607.17542
Ireland,IRL,2022,YR2022,..,..,..,..,..,..
Ireland,IRL,2023,YR2023,..,..,..,..,..,..
Isle of Man,IMN,2021,YR2021,..,..,..,..,..,..
Isle of Man,IMN,2022,YR2022,..,..,..,..,..,..
Isle of Man,IMN,2023,YR2023,..,..,..,..,..,..
Israel,ISR,2021,YR2021,9.038954126,3.28548E+11,4.07604E+11,7.220358342,35058.59497,43494.502
Israel,ISR,2022,YR2022,..,..,..,..,..,..
Israel,ISR,2023,YR2023,..,..,..,..,..,..
Italy,ITA,2021,YR2021,6.28593666,1.53632E+12,1.75516E+12,6.83536215,25980.68286,29681.55713
Italy,ITA,2022,YR2022,..,..,..,..,..,..
Italy,ITA,2023,YR2023,..,..,..,..,..,..
Jamaica,JAM,2021,YR2021,..,..,13302280442,..,..,4687.727674
Jamaica,JAM,2022,YR2022,..,..,..,..,..,..
Jamaica,JAM,2023,YR2023,..,..,..,..,..,..
Japan,JPN,2021,YR2021,-1.27649998,3.39451E+12,3.83581E+12,-0.821372975,27008.84086,30520.07048
Japan,JPN,2022,YR2022,..,..,..,..,..,..
Japan,JPN,2023,YR2023,..,..,..,..,..,..
Jordan,JOR,2021,YR2021,..,..,43544134322,..,..,3934.821392
Jordan,JOR,2022,YR2022,..,..,..,..,..,..
Jordan,JOR,2023,YR2023,..,..,..,..,..,..
Kazakhstan,KAZ,2021,YR2021,-5.96983707,1.46542E+11,1.25621E+11,-7.215180749,7422.268571,6362.631782
Kazakhstan,KAZ,2022,YR2022,..,..,..,..,..,..
Kazakhstan,KAZ,2023,YR2023,..,..,..,..,..,..
Kenya,KEN,2021,YR2021,9.946106543,79499195514,95240841983,7.876409926,1493.807616,1789.596665
Kenya,KEN,2022,YR2022,..,..,..,..,..,..
Kenya,KEN,2023,YR2023,..,..,..,..,..,..
Kiribati,KIR,2021,YR2021,-4.697613461,321310255.9,359689526.7,-6.388717292,2502.864655,2801.822185
Kiribati,KIR,2022,YR2022,..,..,..,..,..,..
Kiribati,KIR,2023,YR2023,..,..,..,..,..,..
"Korea, Dem. People's Rep.",PRK,2021,YR2021,..,..,..,..,..,..
"Korea, Dem. People's Rep.",PRK,2022,YR2022,..,..,..,..,..,..
"Korea, Dem. People's Rep.",PRK,2023,YR2023,..,..,..,..,..,..
"Korea, Rep.",KOR,2021,YR2021,3.12566263,1.31797E+12,1.45259E+12,3.258529984,25458.40458,28058.83017
"Korea, Rep.",KOR,2022,YR2022,..,..,..,..,..,..
"Korea, Rep.",KOR,2023,YR2023,..,..,..,..,..,..
Kosovo,XKX,2021,YR2021,..,..,..,..,..,..
Kosovo,XKX,2022,YR2022,..,..,..,..,..,..
Kosovo,XKX,2023,YR2023,..,..,..,..,..,..
Kuwait,KWT,2021,YR2021,..,..,..,..,..,..
Kuwait,KWT,2022,YR2022,..,..,..,..,..,..
Kuwait,KWT,2023,YR2023,..,..,..,..,..,..
Kyrgyz Republic,KGZ,2021,YR2021,-5.390638664,5826663779,5963757454,-7.111648339,850.4558862,870.465986
Kyrgyz Republic,KGZ,2022,YR2022,..,..,..,..,..,..
Kyrgyz Republic,KGZ,2023,YR2023,..,..,..,..,..,..
Lao PDR,LAO,2021,YR2021,..,..,13698049433,..,..,1837.87641
Lao PDR,LAO,2022,YR2022,..,..,..,..,..,..
Lao PDR,LAO,2023,YR2023,..,..,..,..,..,..
Latvia,LVA,2021,YR2021,5.76339182,25751214389,30602025360,6.659060128,13664.8188,16238.88976
Latvia,LVA,2022,YR2022,..,..,..,..,..,..
Latvia,LVA,2023,YR2023,..,..,..,..,..,..
Lebanon,LBN,2021,YR2021,-16.20262411,24088247157,17307089418,-16.43305465,4212.615113,3026.708667
Lebanon,LBN,2022,YR2022,..,..,..,..,..,..
Lebanon,LBN,2023,YR2023,..,..,..,..,..,..
Lesotho,LSO,2021,YR2021,-0.872501275,2172820218,2346092294,-2.004019672,960.7693415,1037.386126
Lesotho,LSO,2022,YR2022,..,..,..,..,..,..
Lesotho,LSO,2023,YR2023,..,..,..,..,..,..
Liberia,LBR,2021,YR2021,..,..,1783546450,..,..,339.1209191
Liberia,LBR,2022,YR2022,..,..,..,..,..,..
Liberia,LBR,2023,YR2023,..,..,..,..,..,..
Libya,LBY,2021,YR2021,31.54134123,52681191881,33096515120,29.88626544,7383.307611,4638.500824
Libya,LBY,2022,YR2022,..,..,..,..,..,..
Libya,LBY,2023,YR2023,..,..,..,..,..,..
Liechtenstein,LIE,2021,YR2021,..,..,..,..,..,..
Liechtenstein,LIE,2022,YR2022,..,..,..,..,..,..
Liechtenstein,LIE,2023,YR2023,..,..,..,..,..,..
Lithuania,LTU,2021,YR2021,2.280097537,42348772232,55896758252,2.062671366,15120.0309,19957.14793
Lithuania,LTU,2022,YR2022,..,..,..,..,..,..
Lithuania,LTU,2023,YR2023,..,..,..,..,..,..
Luxembourg,LUX,2021,YR2021,12.26893446,41837314994,49784930446,10.57717571,65364.26825,77781.1757
Luxembourg,LUX,2022,YR2022,..,..,..,..,..,..
Luxembourg,LUX,2023,YR2023,..,..,..,..,..,..
"Macao SAR, China",MAC,2021,YR2021,..,..,..,..,..,..
"Macao SAR, China",MAC,2022,YR2022,..,..,..,..,..,..
"Macao SAR, China",MAC,2023,YR2023,..,..,..,..,..,..
Madagascar,MDG,2021,YR2021,-1.13846991,10390051503,12500340516,-3.594191977,349.9384479,421.0132893
Madagascar,MDG,2022,YR2022,..,..,..,..,..,..
Madagascar,MDG,2023,YR2023,..,..,..,..,..,..
Malawi,MWI,2021,YR2021,..,..,11287506854,..,..,563.0449238
Malawi,MWI,2022,YR2022,..,..,..,..,..,..
Malawi,MWI,2023,YR2023,..,..,..,..,..,..
Malaysia,MYS,2021,YR2021,0.705497632,2.54984E+11,2.64144E+11,-0.448483698,7437.756347,7704.953612
Malaysia,MYS,2022,YR2022,..,..,..,..,..,..
Malaysia,MYS,2023,YR2023,..,..,..,..,..,..
Maldives,MDV,2021,YR2021,24.80471728,3076134167,4329718253,21.41084838,5959.721647,8388.423326
Maldives,MDV,2022,YR2022,..,..,..,..,..,..
Maldives,MDV,2023,YR2023,..,..,..,..,..,..
Mali,MLI,2021,YR2021,-8.58637744,11850214702,14504169501,-11.34158685,529.2961071,647.8364018
Mali,MLI,2022,YR2022,..,..,..,..,..,..
Mali,MLI,2023,YR2023,..,..,..,..,..,..
Malta,MLT,2021,YR2021,..,..,..,..,..,..
Malta,MLT,2022,YR2022,..,..,..,..,..,..
Malta,MLT,2023,YR2023,..,..,..,..,..,..
Marshall Islands,MHL,2021,YR2021,..,..,..,..,..,..
Marshall Islands,MHL,2022,YR2022,..,..,..,..,..,..
