Country Name,Country Code,Time,Time Code,Adjusted Net National Income(Yrly % Growth),Adjusted Net Natiobnal Income (Constant),Adjusted Net National Income (Current),Current Account Balance (% GDP),Current Account Balance (BoP Current $),Exports Goods and Services (% GDP),Exports Goods and Services (Yrly % growth),Exports of Goods and Services (Current $),External Balance on Goods and Services (Constant LCU),"Foreign Direct Investment, Net (Current $)","Foreign Direct Investment, Net Inflows (% of GDP)","Foreign Direct Investment, Net Inflows (Current $)","Foreign Direct Investment, Net Outflows (% of GDP)","Foreign Direct Investment, Net Outflows (Current $)",GDP (Constant 2015 $),GDP (Constant LCU),GDP (Current LCU),GDP (Current $),GDP Growth (Yrly %),GDP per capita (Constant 2015 $),GDP per capita (Constant LCU),GDP per capita (Current LCU),GDP per Capita (Current $),GDP per Capita Growth (Yrly %),"GDP per capita, PPP (Constant 2021 International $)","GDP per capita, PPP (Current International $)","GDP, PPP (Constant 2021 International $)","GDP, PPP (Current International $)",GDP: Linked Series (Current LCU),General Government Final Consumption Expenditure (% of GDP),General Government Final Consumption Expenditure (Annual % Growth),General Government Final Consumption Expenditure (Current $),Goods Exports (Current $),Goods Imports (Current $),"Grants, Excluding Technical Cooperation (Current $)",Gross Domestic Savings (% GDP),Gross Domestic Savings (Current LCU),Gross National Expenditure (% of GDP),Gross National Expenditure Deflator (Base Yr Varies by Country),Gross Value Added at Basic Prices (GVA) (Constant 2015 $),Households and NPISHs Final Consumption Expenditure (% of GDP),Households and NPISHs Final Consumption Expenditure (Annual % Growth),Households and NPISHs Final Consumption Expenditure (Current LCU),Imports Goods and Services (% GDP),Imports Goods and Services (Yrly % Growth),Imports of Goods and Services (Current $),Multilateral Debt Service (% of Public and Publicly Guaranteed Debt Service),"Net Financial Flows, IBRD (NFL, Current $)","Net Financial Flows, IDA (NFL, Current $)","Net Financial Flows, IMF Concessional (NFL, Current $)","Net Financial Flows, IMF Nonconcessional (NFL, Current $)","Net Financial Flows, Multilateral (NFL, Current $)",Net ODA Received (% of Central Government Expense),Net ODA Received (% of GNI),Net Official Aid Received (Current $),Net Dvlpmt Assistance and Aid Received (Constant 2021 $),Net Trade in Goods (Current $),Net Trade in Goods and Services (Current $),"Portfolio Investment, Bonds (PPG + PNG) (NFL, Current $)",Net Portfolio Investment (Current $),Service Exports (Current $),Service Imports (Current $),Taxes Less Subsidies on Products (Constant LCU),Travel Services (% of Service Exports)
Australia,AUS,2022.0,YR2022,..,..,..,0.84532388,14293228534,25.53158803,-0.350521996,4.31703E+11,1.31487E+11,54381972493,4.161495042,70364982117,7.377687126,1.24746E+11,1.58713E+12,2.48208E+12,2.33033E+12,1.69086E+12,4.242385553,61009.80771,95411.77561,89578.42924,64997.01365,2.924100641,59845.7858,65834.78489,1.55685E+12,1.71265E+12,2.33033E+12,22.07842755,6.871561984,3.73315E+11,4.12601E+11,3.0094E+11,..,29.00959478,6.76019E+11,94.75859417,..,1.48153E+12,48.91197766,4.286604019,1.13981E+12,20.2901822,7.332027092,3.43078E+11,..,..,..,..,..,..,..,..,..,..,1.11661E+11,94028162312,..,-80275727948,52086711921,69719820223,1.5881E+11,46.8798099
Australia,AUS,2023.0,YR2023,..,..,..,0.254737257,4402005809,26.79924113,6.716689905,4.63106E+11,1.12285E+11,-17885795878,1.880806481,32501414007,0.84578318,14615618129,1.64176E+12,2.56751E+12,2.56751E+12,1.72806E+12,3.4419922,61583.91889,96309.61432,96309.61432,64820.91179,0.941014568,60408.94337,70340.21716,1.61044E+12,1.8752E+12,2.56751E+12,21.31385508,1.722589963,3.68316E+11,3.71858E+11,2.88438E+11,..,28.34735403,7.27822E+11,95.62666284,100,1.53584E+12,50.33879088,6.318368999,1.29246E+12,22.42594293,12.1783432,3.87533E+11,..,..,..,..,..,..,..,..,..,..,83419785234,67997427735,..,14817046970,75205829118,90628186616,1.59216E+11,61.1878233
Austria,AUT,2021.0,YR2021,3.661981271,3.23247E+11,3.87622E+11,1.715899468,8244331337,55.9533597,9.476705012,2.68837E+11,5400146000,10092244104,3.954093238,18998114634,6.054600311,29090358738,4.05818E+11,3.65762E+11,4.06232E+11,4.80467E+11,4.795329106,45313.399,40840.80445,45359.67754,53648.71907,4.339758647,62912.17411,62912.17411,5.63429E+11,5.63429E+11,4.06232E+11,21.73176561,7.5318849,1.04414E+11,1.98435E+11,1.98322E+11,..,28.53656476,1.15925E+11,99.13667893,112.4909396,3.60869E+11,49.67080097,4.216064674,2.01779E+11,55.07890903,14.11538392,2.64636E+11,..,..,..,..,..,..,..,..,..,..,113749355.1,3788251303,..,13995547413,70957127282,67282625334,40548852000,14.62037018
Austria,AUT,2022.0,YR2022,..,..,..,-0.82908661,-3911411993,61.96267341,9.996523716,2.92324E+11,11946988000,112362400.3,3.031433627,14301504457,3.055250643,14413866857,4.27236E+11,3.85066E+11,4.48007E+11,4.71774E+11,5.277894212,47250.96959,42587.12989,49548.20036,52176.66491,4.275933009,65602.25653,70675.51466,5.93166E+11,6.39037E+11,4.48007E+11,20.55248881,0.036164116,96961222478,2.08927E+11,2.182E+11,..,28.50281539,1.27695E+11,100.7239549,121.5353995,3.82775E+11,51.11657464,5.663351185,2.29006E+11,62.42077807,7.08262488,2.94485E+11,..,..,..,..,..,..,..,..,..,..,-9272137067,-2519474102,..,857332578.9,82876609223,76123932700,40023098000,23.79008842
Austria,AUT,2023.0,YR2023,..,..,..,1.325563772,6782713687,59.46456662,-0.421756439,3.04271E+11,21110502000,5445120679,0.571627955,2924935669,1.635782369,8370056348,4.23156E+11,3.81389E+11,4.73227E+11,5.11685E+11,-0.954962367,46338.95712,41765.13632,51822.06565,56033.57379,-1.930145503,64336.03753,70296.66076,5.87501E+11,6.41932E+11,4.73227E+11,20.46541252,-0.444811602,1.04718E+11,2.13614E+11,2.09294E+11,..,27.29791263,1.29181E+11,98.11010248,129.764761,3.78255E+11,52.19906878,-0.274001498,2.4702E+11,57.34935279,-4.595640043,2.93448E+11,..,..,..,..,..,..,..,..,..,..,4319404033,10221561709,..,-15321076711,90300147989,84397990313,40419467000,27.32548733
Bangladesh,BGD,2021.0,YR2021,7.400798063,2.9706E+11,4.30455E+11,-3.789692599,-15775415833,10.6627789,9.191456118,44386125442,-1.81E+12,-1640672069,0.414118154,1723856464,0.0199832,83184395.32,2.85369E+11,2.83394E+13,3.53018E+13,4.16272E+11,6.938679124,1702.080284,169030.405,210557.6124,2482.849178,6.07069417,7441.06914,7441.06914,1.24756E+12,1.24756E+12,3.53018E+13,5.882748688,6.877224787,24488214905,41815967657,74432695834,1612040000,25.3418178,8.94613E+12,105.6769209,125.6794154,2.73428E+11,68.77543351,8.015464419,2.4279E+13,17.0612258,15.26594174,71021045805,54.45691679,..,782749000,..,-182333021.3,2952546000,14.68655072,1.161414187,..,5089109863,-32616728177,-36008206263,-83852000,313402814.4,7474532386,10866010473,1.0818E+12,3.652134328
Bangladesh,BGD,2022.0,YR2022,..,..,..,-3.137720275,-14437645295,12.88222643,29.3925551,59275206064,-2.43E+12,-1603289893,0.355308724,1634888030,0.006867194,31598137.87,3.0563E+11,3.03515E+13,3.97172E+13,4.60132E+11,7.099828776,1804.349346,179186.554,234478.78,2716.485927,6.008474629,7888.163891,8450.549025,1.33614E+12,1.4314E+12,3.97172E+13,5.698999556,6.241515199,26222902908,51832405871,81445097325,1257650000,25.22439417,1.00184E+13,106.8228814,131.4984585,2.93022E+11,69.07660628,7.476516769,2.74353E+13,20.89774084,31.18308636,96157127851,55.09202479,..,1277834000,..,-159051376.1,2935786000,..,1.085538931,..,5743330078,-29612691454,-33568494214,-409047000,323222901.9,8234092677,12189895437,1.14056E+12,5.108233714
Bangladesh,BGD,2023.0,YR2023,..,..,..,1.0030677,4387571900,13.15716383,8.032613221,57551451741,-1.50E+12,-1387217991,0.316668222,1385155352,-0.000471552,-2062639.476,3.2328E+11,3.21043E+13,4.49084E+13,4.37415E+11,5.77511237,1885.377336,187233.292,261907.0703,2551.017727,4.490704094,8242.39799,9147.777507,1.4133E+12,1.56854E+12,4.49084E+13,5.665169627,8.535459733,24780320479,52506389572,62158521294,..,25.75951408,1.15682E+13,105.191686,142.9521002,3.11322E+11,68.57531629,1.984966302,3.07961E+13,17.82580758,-9.773652771,77972815221,51.37691403,..,1412170000,222345957.8,699568659.8,3700687000,..,..,..,..,-9652131723,-14287605601,-314510000,323196239.4,6378268961,11013742839,1.06914E+12,7.113293144
Barbados,BRB,2021.0,YR2021,..,..,4164575079,..,..,..,..,..,..,..,0.334854777,17664400,0.334854777,17664400,4542503210,8997149800,10550484100,5275242050,-0.25496588,16099.77497,31888.16397,37393.57179,18696.7859,-0.413697039,15683.88471,15683.88471,4425161020,4425161020,10550484100,..,..,..,..,..,..,..,..,..,..,4116564367,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,944457500,..
Barbados,BRB,2022.0,YR2022,..,..,..,..,..,..,..,..,..,..,0.239719873,15000000,0.239719873,15000000,5352561585,10601599200,12514607000,6257303500,17.83286303,18959.33516,37551.97756,44328.05205,22164.02603,17.76149167,18469.57659,19786.36152,5214293923,5586046010,12514607000,..,..,..,..,..,..,..,..,..,..,4786252844,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1238883500,..
Barbados,BRB,2023.0,YR2023,..,..,..,..,..,..,..,..,..,..,0.119034632,8000000,0.119034632,8000000,5571685827,11035609600,13441466400,6720733200,4.09382011,19734.23803,39086.79587,47608.04998,23804.02499,4.08718373,19224.46212,21336.15756,5427757737,6023965380,13441466400,..,..,..,..,..,..,..,..,..,..,4985269626,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1283583800,..
Belgium,BEL,2021.0,YR2021,5.937338344,4.021E+11,4.83643E+11,1.865560316,11165267240,89.62960592,14.65180696,5.36428E+11,10355721000,23371946828,5.90607721,35347519889,9.81120331,58719466717,4.99596E+11,4.50284E+11,5.06023E+11,5.98494E+11,6.202554016,43119.89433,38863.80654,43674.66627,51655.78833,5.766320572,60611.52714,60611.52714,7.02257E+11,7.02257E+11,5.06023E+11,23.84076461,5.175633113,1.42686E+11,4.00088E+11,3.87166E+11,..,26.31138256,1.33142E+11,98.13109359,112.8324196,4.4778E+11,48.97562009,6.294340124,2.47828E+11,87.76069951,12.8314437,5.25243E+11,..,..,..,..,..,..,..,..,..,..,12918983021,11377868174,..,7412262446,1.35902E+11,1.37446E+11,46724764000,5.482079058
Belgium,BEL,2022.0,YR2022,..,..,..,-1.184761817,-7030836553,95.26780182,5.782842191,5.65356E+11,10724366000,23329464558,2.001057025,11875049209,5.932290331,35204513767,5.20746E+11,4.69346E+11,5.63544E+11,5.93439E+11,4.233431834,44583.57677,40183.01828,48247.72842,50807.20471,3.394448109,62668.95397,68080.35189,7.31987E+11,7.95193E+11,5.63544E+11,23.49303585,4.478361709,1.39417E+11,4.26187E+11,4.26952E+11,..,25.476059,1.43569E+11,101.4606856,124.6423503,4.67999E+11,49.84024306,3.20478765,2.80872E+11,96.72848738,5.840665342,5.74024E+11,..,..,..,..,..,..,..,..,..,..,-764974659.2,-7959654595,..,-666700888.9,1.39046E+11,1.4624E+11,47591579000,6.032772402
Belgium,BEL,2023.0,YR2023,..,..,..,-0.698394106,-4503124767,84.1639883,-7.132884782,5.42675E+11,8606894000,-10576848063,-0.430551199,-2776119887,-2.0709251,-13352967950,5.27264E+11,4.75221E+11,5.96321E+11,6.44783E+11,1.251700632,44731.0421,40315.92826,50589.56483,54700.90932,0.330761545,62876.23877,68894.3912,7.41149E+11,8.12087E+11,5.96321E+11,23.77194415,1.57454936,1.53277E+11,3.89937E+11,3.86913E+11,..,24.73010324,1.47471E+11,100.5996271,128.9214082,4.73278E+11,50.35888413,1.429501474,3.003E+11,84.76361541,-6.811911133,5.46541E+11,..,..,..,..,..,..,..,..,..,..,3023506866,-3916912630,..,-20605724319,1.52571E+11,1.59511E+11,48728088000,5.83883857
Bolivia,BOL,2021.0,YR2021,-0.861395883,29995922705,31712478522,3.912430449,1580861017,27.82534591,15.42209121,11243140348,-1670107713,-492246695,1.444277611,583576424.7,0.226029494,91329729.73,36986126769,47700159112,2.79206E+11,40406111695,6.111372752,3098.350621,3995.87171,23389.27802,3384.844865,5.035259701,9454.198147,9454.198147,1.12858E+11,1.12858E+11,2.79206E+11,19.33698457,5.38900206,7813323582,11145698861,8216070562,108850000,13.42003931,37469586054,103.3707047,584.5977105,28883832403,67.24297613,5.341504523,1.87747E+11,31.19605065,15.6979465,12605111072,76.75405367,160466000,-22967000,..,-342038240,450066000,..,1.287096165,..,506820007.3,2929628299,1407479875,0,20685739.84,448624292.5,1970772716,5444662416,42.12182235
Bolivia,BOL,2022.0,YR2022,..,..,..,2.13388055,939084188.6,32.61155486,15.09035384,14351785313,-1098095112,-87031312.66,0.014172287,6236980.083,-0.183588923,-80794332.57,38319728286,49420074392,3.04097E+11,44008282878,3.605680383,3172.910463,4092.029827,25179.54434,3643.92827,2.406436547,9681.707427,10371.9629,1.16927E+11,1.25264E+11,3.04097E+11,19.08991604,3.745338618,8401144251,13541191840,10728195419,198220000,14.08407691,42829288427,102.5327891,617.2024427,29951982766,66.82600705,3.363770891,2.03216E+11,35.14434393,8.802541208,15466422290,38.16148012,77963000,-11706000,..,0,508843000,..,0.781642872,..,356760009.8,2812996421,1002762494,33399000,-203737541.8,923543015,2733776942,5601931039,57.41991048
Bolivia,BOL,2023.0,YR2023,..,..,..,-2.604021679,-1175335549,25.53223982,-8.769789569,11524078062,-1899571231,-37147838.43,0.650691261,293692090.2,0.568388146,256544251.8,39500728993,50943183907,3.11886E+11,45135398009,3.081965241,3226.087557,4160.611105,25472.19456,3686.279965,1.675972097,9843.970142,10925.27305,1.20531E+11,1.33771E+11,3.11886E+11,19.28636427,2.393630654,8704977275,10793376160,10531914109,..,12.22319964,38122399555,105.3937593,622.0492441,30872458135,68.49043609,3.175995246,2.13612E+11,30.92599915,-2.47354207,13958572803,63.34213282,90555000,-6350000,..,..,275958000,..,..,..,..,261462050.5,-1083374855,-183399000,-245591276.3,1111450550,2456287456,5778434488,61.88963044
Bosnia and Herzegovina,BIH,2021.0,YR2021,8.971352849,17164361539,19531593962,-1.475286851,-349240411,42.57332144,26.07672486,10078259876,..,-675995143,3.242308168,767542282.7,0.386720114,91547139.65,19454671754,34308158000,39145339000,23672712242,7.38996234,5995.448176,10572.92489,12063.62432,7295.343824,9.19171639,18270.33518,18270.33518,59285538511,59285538511,39145339000,19.40152057,2.861074142,4592866136,7673020643,11999255997,286250000,12.48153707,4885940000,113.6006409,106.701022,16060767500,68.11694235,4.177745345,26664608000,53.91258714,20.58876367,12762571616,70.05221261,65760000,-75478000,..,-15056235.6,203564000,6.839756311,2.414977588,..,564419982.9,-4326235354,-2622901991,686104000,45106909.92,2443058891,739725528.1,5994973000,41.98334338
Bosnia and Herzegovina,BIH,2022.0,YR2022,..,..,..,-4.392365238,-1077652037,48.30710235,11.98933784,11851985074,..,-773566811.2,3.470413489,851454276.3,0.317458867,77887465.12,20276983961,35758299000,45617938000,24534663636,4.226811011,6327.062939,11157.72488,14234.24536,7655.59421,5.531108829,19280.8873,21099.48791,61791426181,67619681061,45617938000,18.6619176,1.319795862,4578638711,8811568816,14264802323,231600000,13.88451622,6333830000,113.5390337,121.9577296,16729268973,67.45356618,1.877757745,30770926000,61.89886531,6.208929163,15186678399,75.45056035,11116000,-97629000,..,-21215325.8,-53315000,3.462022086,1.172503034,..,295260009.8,-5453233507,-3328559416,0,137948408.5,3025932292,901258200.6,6268192000,47.63931687
Bosnia and Herzegovina,BIH,2023.0,YR2023,..,..,..,-2.32154774,-638768810.7,44.05561715,-1.249999764,12121807227,..,-934281757.1,3.76226208,1035178227,0.366699139,100896470.3,20725333316,36548959500,49779827000,27514782476,2.211124472,6507.019876,11475.07749,15629.10081,8638.666202,2.844241288,19829.28226,22391.09784,63157711527,71317281185,49779827000,19.18011085,2.119999656,5277365779,8571089545,14244803402,..,12.29712188,6121486000,114.1013106,131.6306567,17114042139,68.52276726,1.288889248,34110515000,55.84275132,-1.280000093,15365011555,60.58792667,-10451000,-120425000,..,-116646582.2,-18950000,..,..,..,..,-5673713857,-3243798922,-181660000,248037682.5,3554714821,1124799885,6368483100,52.54490225
Botswana,BWA,2021.0,YR2021,3.240309112,11967020820,13101223231,-1.677690595,-314582867.6,41.91084364,31.6732518,7858679910,1682361900,286135721.8,-1.701545337,-319055857.6,-0.175565194,-32920135.8,16560766198,1.87714E+11,2.07897E+11,18750946600,11.92063651,6896.178669,78167.0445,86571.5971,7808.20624,10.26394669,17961.35762,17961.35762,43133140609,43133140609,2.07897E+11,31.52924105,3.974110488,5912031153,7431527970,8075194682,90000000,25.16749978,52322372000,102.1951087,115.8368349,15941441292,43.30325916,2.500062181,90025996000,46.84428779,2.343167837,8783747388,91.90948163,276658000,-198000,..,..,211922000,1.811547697,0.51326502,..,96430000.31,-643666711.5,-1389094979,..,1040726039,429421965.8,1174850233,7118416000,48.16510075
Botswana,BWA,2022.0,YR2022,..,..,..,-1.142221264,-232121735.2,43.54187995,-5.346939179,8848562925,7419626700,-699506126.1,3.491908165,709624140.4,0.049788578,10118014.24,17469294498,1.98012E+11,2.51358E+11,20321958850,5.486028178,7159.863837,81155.87227,103020.3006,8329.040322,3.823641782,18648.1356,19977.65085,45499436857,48743310496,2.51358E+11,27.88729499,2.545355431,5667244612,8327625263,7771629945,71730000,31.5342601,79264013900,95.25619221,130.2878091,16871893187,40.57842995,3.054887487,1.01997E+11,42.06642283,-11.73868197,8548721138,94.88715378,50632000,-114000,..,0,84276000,1.755614967,0.439789593,..,88500000,555995318.5,87794270.08,..,-653079439.4,586175902.5,1054376951,6875663100,59.54233337
